search URL:,https://patents.google.com/?q=TAC%253d%28%28%E2%80%9Ccarbon+capture%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Acapture%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Atrap%2A%E2%80%9D+OR+%E2%80%9CCO2+capture%E2%80%9D+OR+%E2%80%9Ccarbon%2Aseparat%2A%E2%80%9D+OR+%E2%80%9CCO2+separat%2A%E2%80%9D+OR+%E2%80%9Ccaptur%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Ccaptur%2A+CO2%E2%80%9D+OR+%E2%80%9Cseparat%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cabsorb%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Ccompress%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Ccarbon%2Aabsor%2A%E2%80%9D+OR+%E2%80%9CCO2+absor%2A%E2%80%9D+OR+%E2%80%9Ccarbon%2Acompress%2A%E2%80%9D+OR+%E2%80%9CCO2+compress%2A%E2%80%9D+OR+%28%28%E2%80%9Csolvent+regenerat%2A%E2%80%9D+OR+%E2%80%9Csolvent+recover%2A%E2%80%9D%29+AND+%E2%80%9Ccarbon%E2%80%9D%29%29+%28%E2%80%9Ccarbon+storage%E2%80%9D+OR+%E2%80%9Ccarbon+sequest%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Astorage%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Asequest%2A%E2%80%9D+OR+%E2%80%9CCO2+storage%E2%80%9D+OR+%E2%80%9CCO2+sequest%2A%E2%80%9D+OR+%E2%80%9Ccarbon+utiliz%2A%E2%80%9D+OR+%E2%80%9Ccarbon+utilis%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2A+utiliz%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2A+utilis%2A%E2%80%9D+OR+%E2%80%9CCO2+utiliz%2A%E2%80%9D+OR+%E2%80%9CCO2+utilis%2A%E2%80%9D+OR+%E2%80%9Ccarboniz%2A+utiliz%2A%E2%80%9D+OR+%E2%80%9Ccarbonis%2A+utilis%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Ainject%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Ainject%2A%E2%80%9D+OR+%28%28%E2%80%9Cleakage%E2%80%9D+OR+%E2%80%9Cmonitor%2A%22%29+AND+%28%22carbon+dioxide%E2%80%9D%29+AND+%28%22storage%22+OR+%22sequest%2A%22%29%29+OR+%E2%80%9Csequest%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cinject%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cutiliz%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cutilis%2A+carbon+dioxide%E2%80%9D%29%29&before=priority:20230731&after=priority:20130101&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-111498878-A,Resource utilization method of waste lithium hexafluorophosphate ,蒋达金,蒋达金,2020-05-08,2020-05-08,2020-08-07,,https://patents.google.com/patent/CN111498878A/en,https://patentimages.storage.googleapis.com/cb/f4/d3/80d2a74e146700/HDA0002482614120000011.png
CA-3141127-A1,Graphene production via molten carbonate electrolysis and electrochemichal exfoliation ,"C2Cnt Llc, Stuart Licht",Stuart Licht,2019-05-28,2020-05-28,2020-12-03,,https://patents.google.com/patent/CA3141127A1/en,
CN-107486248-A,The circulation utilization method of oil-soluble molybdenum base slurry bed system hydrocracking catalyst ,中国石油大学(华东),"刘宾, 柴永明, 刘晨光, 赵柯迪, 梁缘, 柳云骐, 殷长龙",2017-09-07,2017-09-07,2017-12-19,,https://patents.google.com/patent/CN107486248A/en,
CN-105494183-A,Method for enhancing ocean carbon sink and artificial flow building device ,华东师范大学,"陈雪初, 黄晓琛, 高如峰, 黄莹莹, 杨华蕾, 陈桂钦, 李盼盼",2015-12-04,2015-12-04,2016-04-20,,https://patents.google.com/patent/CN105494183A/en,
CN-103933897-A,Embedded-type plasma reactor for performing adsorption catalysis on VOCs (volatile organic chemicals) as well as method ,"杭州尊邦科技有限公司, 浙江工商大学","吴祖良, 郑建明, 侯培, 陈斌",2014-04-09,2014-04-09,2014-07-23,,https://patents.google.com/patent/CN103933897A/en,
CN-103972559-A,Method and device for biomass combined cycle power generation and carbon dioxide separation ,东南大学,"向文国, 陈伟, 朱珉",2014-05-09,2014-05-09,2014-08-06,,https://patents.google.com/patent/CN103972559A/en,
CN-104502237-A,Device for measuring diffusion coefficient of CO2 diffusing from aqueous phase to oil phase and operating method thereof ,中国石油大学(华东),"李宾飞, 叶金桥, 李兆敏, 张继国, 李松岩, 丁立苹",2014-12-15,2014-12-15,2015-04-08,,https://patents.google.com/patent/CN104502237A/en,
CN-103147276-A,"Textile continuous cold-batch pretreatment method, auxiliary used for method and preparation method of auxiliary ",烟台源明化工有限公司,"温明君, 于浩, 车晓敏",2013-02-04,2013-02-04,2013-06-12,,https://patents.google.com/patent/CN103147276A/en,
CN-105042672-A,Air source CO2 heat pump system suitable for connecting heating radiators ,"中国铁道科学研究院, 中国铁道科学研究院节能环保劳卫研究所, 北京中铁科节能环保新技术有限公司","洪蔚, 王守国, 薛强, 于晓莹",2015-09-01,2015-09-01,2015-11-11,,https://patents.google.com/patent/CN105042672A/en,
CN-105749914-A,"Symmetric difunctional photocatalyst, double-chamber photoreactor and method for photocatalytic reduction of carbon dioxide ",郑州大学,"张丽, 曹少魁, 李飞, 徐慎刚, 刘应良, 石军",2016-02-01,2016-03-21,2016-07-13,,https://patents.google.com/patent/CN105749914A/en,
CN-110963464-A,Method for producing hydrogen by coupling natural gas direct cracking and steam reforming ,四川天采科技有限责任公司,"陈运, 汪兰海, 刘开莉, 钟雨明, 蔡跃明, 蒋强",2019-12-31,2019-12-31,2020-04-07,,https://patents.google.com/patent/CN110963464A/en,https://patentimages.storage.googleapis.com/1b/06/af/6dd19bfba36099/HDA0002351885330000011.png
CN-105604618-A,Supercritical water pulverized coal direct oxidation composite working medium circulating power generating system and method ,华北电力大学,"张乃强, 蒋东方, 韦丁萍, 岳国强, 曹琦, 徐鸿",2015-12-25,2015-12-25,2016-05-25,,https://patents.google.com/patent/CN105604618A/en,
CN-103382067-A,"Novel method of coking residual ammoniacal liquor deamination, dephenolization, denitrification and utilization ",北京中亿孚佑科技有限公司,"刘洪涛, 张书廷",2013-04-15,2013-04-15,2013-11-06,,https://patents.google.com/patent/CN103382067A/en,https://patentimages.storage.googleapis.com/05/24/40/cc661db3d5163c/HSA00000878557300011.png
CN-103553246-A,Device and method for softening hard water by using carbon dioxide in flue gas ,武汉森泰环保工程有限公司,"杨文斌, 叶庆华, 官圣灵, 彭继伟, 张洋",2013-11-21,2013-11-21,2014-02-05,,https://patents.google.com/patent/CN103553246A/en,https://patentimages.storage.googleapis.com/aa/69/61/773a774590d236/HDA0000418910270000011.png
US-2018245182-A1,Methods and systems for recovering products from iron and steel slag ,The Trustees Of Columbia University In The City Of New York,"Ah-Hyung Alissa Park, Xiaozhou ZHOU",2015-09-18,2016-09-19,2018-08-30,,https://patents.google.com/patent/US20180245182A1/en,https://patentimages.storage.googleapis.com/69/75/8a/c77bb4b4206067/US20180245182A1-20180830-D00000.png
CN-103230932-A,A device for remediation of organic contaminated soil by using supercritical CO2 fluid and a remediation method ,华北电力大学,"卢宏玮, 李振通, 何理",2013-04-11,2013-04-11,2013-08-07,,https://patents.google.com/patent/CN103230932A/en,https://patentimages.storage.googleapis.com/05/30/21/6c099f6596b28d/HDA00003035026800011.png
CN-105565377-A,Method for preparing zirconium tetrachloride through fluidizing chlorination of zircon sand with silicon tetrachloride as byproduct ,淄博广通化工有限责任公司,"郝本清, 毕明亮",2015-12-31,2015-12-31,2016-05-11,,https://patents.google.com/patent/CN105565377A/en,
CN-105698163-A,Oxygen-enriched combustion device and method of solid fuel circulating fluidized bed ,"华北电力大学, 西澳大学","张锴, 刘芸, 张仪, 张国强, 徐钢, 杨勇平, 张东柯",2016-01-27,2016-01-27,2016-06-22,,https://patents.google.com/patent/CN105698163A/en,
CN-103242134-A,Pyrolysis gasification and purification method of household garbage ,"深圳市炬能生物质气化科技有限公司, 刘鸿逵, 危朝东","于海军, 陈文�, 徐淑萍, 王玉志, 张桂红, 李科",2013-04-25,2013-04-25,2013-08-14,,https://patents.google.com/patent/CN103242134A/en,https://patentimages.storage.googleapis.com/1f/67/16/808344ac0e1cc0/130416233608.png
CN-103983036-A,CO2 circulation poly-generation system for waste heat recovery of internal combustion engine ,西安交通大学,"王顺森, 白昆仑, 邸娟, 刘观伟",2014-05-30,2014-05-30,2014-08-13,,https://patents.google.com/patent/CN103983036A/en,
PL-412427-A1,Method for complex utilization of phosphogypsum ,Włodzimierz Merka,Włodzimierz Merka,2015-05-20,2015-05-20,2016-11-21,,https://patents.google.com/patent/PL412427A1/en,
CN-105484071-A,Reverse micelle system and application thereof in acid dye dyeing ,"中国纺织科学研究院江南分院, 绍兴中纺院江南分院有限公司","李俊玲, 崔桂新, 朱俊伟",2015-12-28,2015-12-28,2016-04-13,,https://patents.google.com/patent/CN105484071A/en,
CN-109607528-A,A kind of carbon-based material and preparation method thereof based on carbonaceous dust collection powder ,北京清新环境技术股份有限公司,"龚得喜, 昌健, 刘少冕, 韩旭东, 吕小玲, 刘恒恒, 程俊峰",2018-11-29,2018-11-29,2019-04-12,,https://patents.google.com/patent/CN109607528A/en,
IL-263631-A,Aldose reductase inhibitors and methods of use thereof ,Univ Columbia,,2016-06-21,2018-12-10,2019-01-31,,https://patents.google.com/patent/IL263631A/en,
CN-104596854-A,Device and method for testing tri-axial strength of rock under supercritical carbon dioxide condition ,西南石油大学,"朱海燕, 陶雷, 刘清友",2014-12-31,2014-12-31,2015-05-06,,https://patents.google.com/patent/CN104596854A/en,
JP-2018505649-A,Tissue and cell dye formulations containing novel molecules obtained from Papaver rhoaes ,"ブダク, メフメトBudak, Mehmet, ブダク，メフメト, ブダク, ギュレル ギュベンBudak, Gurer Guven, ギュベン ブダク，ギュレル","ブダク，メフメト, ギュベン ブダク，ギュレル, ギュベン ブダク，ギュレル",2014-10-21,2014-11-18,2018-03-01,,https://patents.google.com/patent/JP2018505649A/en,
CN-108625990-B,Natural gas oxygen-enriched combustion and transcritical CO2Cyclic coupled power generation system ,华中科技大学,"蔡磊, 向艳蕾, 管延文, 刘文斌, 韩逸骁, 梁莹",2018-04-13,2018-04-13,2020-08-18,2020-08-18,https://patents.google.com/patent/CN108625990B/en,https://patentimages.storage.googleapis.com/83/bb/95/c9c113743f6412/HDA0002540046550000011.png
JP-2018536529-A,"Devices, systems, and methods for enhancing the growth of biomass in greenhouses ","カーボン シンク インコーポレイテッド, カーボン  シンク  インコーポレイテッド","フランク オキーフェ，, フランク オキーフェ，",2015-09-18,2016-09-16,2018-12-13,,https://patents.google.com/patent/JP2018536529A/en,
CN-109976155-B,Method and system for randomly optimizing and controlling interior of virtual power plant participating in gas-electricity market ,长沙理工大学,"周任军, 彭院院, 徐健, 李斌, 方绍凤, 吴燕榕, 李雪芹",2019-03-05,2019-03-05,2023-03-10,2023-03-10,https://patents.google.com/patent/CN109976155B/en,https://patentimages.storage.googleapis.com/6e/ac/17/d348d3ccb7ba1d/HDA0001985613560000011.png
CN-215602232-U,Direct air carbon capture system for agriculture ,中国能源建设集团广东省电力设计研究院有限公司,"林海周, 裴爱国, 杨晖, 罗海中, 张治忠, 邓广义",2021-05-10,2021-05-10,2022-01-25,2022-01-25,https://patents.google.com/patent/CN215602232U/en,https://patentimages.storage.googleapis.com/cf/e0/cf/f08fd2d517780b/HDA0003057550870000011.png
CN-104774125-B,A kind of method of the rich nitrogen sulfate fertilizer of utilization ardealite production and recovering rare earth ,潍坊学院,"台夕市, 张运臣, 江津河",2015-03-20,2015-03-20,2017-11-03,2017-11-03,https://patents.google.com/patent/CN104774125B/en,
CN-207113407-U,The process system of LNG cold energy dry ice is utilized in liquefied natural gas generating ,山西高碳能源低碳化利用研究设计院有限公司,"吴新龙, 李琨杰, 李静波, 赵婧怡",2017-08-30,2017-08-30,2018-03-16,2018-03-16,https://patents.google.com/patent/CN207113407U/en,
CN-106025419-A,Method for echelon utilization and recycling of power lithium-ion batteries ,芜湖格利特新能源科技有限公司,"陶以彬, 柯勇, 张春玲",2016-07-24,2016-07-24,2016-10-12,,https://patents.google.com/patent/CN106025419A/en,
CN-105940842-A,Vegetable greenhouse soil humidity monitoring and methane tank warming water-fertilizer integrated intelligent system ,中原工学院,"刘恩海, 刘寅, 徐云婷, 黄谦, 刘丽",2016-05-09,2016-05-09,2016-09-21,,https://patents.google.com/patent/CN105940842A/en,
WO-2015177361-A1,Method and cartridge for carbon dioxide recovery ,Krajete GmbH,Alexander Krajete,2014-05-22,2015-05-22,2015-11-26,,https://patents.google.com/patent/WO2015177361A1/en,
CN-103420386-A,Method for preparing silica through coal gangue aluminum extraction waste slag ,山西大学,"程芳琴, 方莉, 陈荣明, 薛芳斌, 段晓芳, 孙岩",2013-08-05,2013-08-05,2013-12-04,,https://patents.google.com/patent/CN103420386A/en,
CN-104529707-A,Method for one-step hydration synthesis of terpilenol by catalyzing turpentine through carbon-based solid acid ,广西民族大学,"刘祖广, 曹松, 卢祥, 雷福厚",2015-01-05,2015-01-05,2015-04-22,,https://patents.google.com/patent/CN104529707A/en,
CN-106147835-A,A kind of combined method separating catalytic cracked oil pulp and preparing oil system needle coke ,"中国石油大学(北京), 北京中石大乾泰超临界萃取技术有限公司","赵锁奇, 许志明, 孙学文, 徐春明, 徐泽进, 李春霞, 陈以龙, 乔曼",2015-03-30,2015-03-30,2016-11-23,,https://patents.google.com/patent/CN106147835A/en,
CN-103881691-A,Method for preparing and recycling environmental-friendly fracturing liquid and flowback fluid thereof ,湖北菲特沃尔科技有限公司,吴新荣,2014-03-14,2014-03-14,2014-06-25,,https://patents.google.com/patent/CN103881691A/en,https://patentimages.storage.googleapis.com/3c/26/e9/988bd2fd9126a2/140313095901.png
CN-107178350-A,A kind of method of hydro carbons in in-situ extraction oil shale ,"中国石油化工股份有限公司, 中国石油化工股份有限公司石油勘探开发研究院","汪友平, 苏建政, 龙秋莲, 张汝生, 王益维, 孟祥龙, 高媛萍, 郭鹏",2016-03-09,2016-03-09,2017-09-19,,https://patents.google.com/patent/CN107178350A/en,
CN-109650430-B,Method for preparing nano calcium carbonate from limestone with high magnesium content ,广西华纳新材料科技有限公司,"刘卢科, 朱勇, 蓝擎, 廖俊杰",2018-12-20,2018-12-20,2021-06-15,2021-06-15,https://patents.google.com/patent/CN109650430B/en,https://patentimages.storage.googleapis.com/05/dd/51/e2d94d8a68ec02/HDA0001913307930000011.png
CN-106245944-A,Analyze detection basic equipment laboratory building module and complete property method for designing thereof ,"高海, 高华","刘海静, 李振国, 高艺歌, 李涛, 乔蓉霞, 马鹏飞, 郑子栋, 郭毅, 何娟, 高海, 李思思",2016-06-15,2016-06-15,2016-12-21,,https://patents.google.com/patent/CN106245944A/en,
CN-110479283-B,"Catalyst with nickel loaded on surface of copper ferrite spinel, preparation method and application thereof ",华中科技大学,"刘晶, 张锦川, 杨应举",2019-08-27,2019-08-27,2020-09-08,2020-09-08,https://patents.google.com/patent/CN110479283B/en,https://patentimages.storage.googleapis.com/fe/7c/e1/83867a4adff2ca/HDA0002180627590000011.png
CN-109608822-A,A kind of lossless modified carbon fiber reinforced resin base Wet-type friction material of MOF-5 and preparation method thereof ,陕西科技大学,"费杰, 周曼, 段笑, 屈蒙, 张立洁, 谷岳峰, 黄剑锋, 曹丽云",2018-12-03,2018-12-03,2019-04-12,,https://patents.google.com/patent/CN109608822A/en,
KR-20200060818-A,Method and system for mineralization of carbon dioxide using kiln dust ,주식회사 애니텍,"이주열, 박병현, 김해기, 최진식, 김재강",2018-11-23,2018-11-23,2020-06-02,,https://patents.google.com/patent/KR20200060818A/en,https://patentimages.storage.googleapis.com/08/23/ff/b1f5fbdc581383/pat00001.png
CN-106164233-A,"Rich in vitamin E is prepared, particularly rich in the method for compositions of tocotrienol from natural oil ","赢创膜萃取技术有限公司, 赢创德固赛有限公司","A·博姆, Y·鲍休伊斯, V·Y·科莱瓦, M·I·F·罗沙, M·施瓦姆",2014-02-11,2015-02-06,2016-11-23,,https://patents.google.com/patent/CN106164233A/en,
CN-110791532-A,Method for preparing ethanol from cellulose and comprehensively utilizing biomass ,吉林大学,"杨晓敏, 王晓峰, 朱燕超, 田玉美, 王子忱",2019-11-18,2019-11-18,2020-02-14,,https://patents.google.com/patent/CN110791532A/en,
CN-104437004-A,Method suitable for controlling concentration of hydrogen sulfide tail gas in low-temperature methanol washing process ,赛鼎工程有限公司,"张琦宇, 李晓, 李刚, 尚书娟, 张凤娟, 王贵, 关杰, 刁秀辉",2014-11-25,2014-11-25,2015-03-25,,https://patents.google.com/patent/CN104437004A/en,
CN-106517222-A,Method for synthesizing ordered mesopore nano-silica through pulverous coal ,清华大学,"蒋建国, 颜枫, 徐雯, 徐一雯, 李凯敏",2016-11-14,2016-11-14,2017-03-22,,https://patents.google.com/patent/CN106517222A/en,
US-10619571-B2,Turbine connected hybrid solar-syngas power system ,King Fahd University Of Petroleum And Minerals,"Medhat Ahmed Nemitallah, Mohamed Abdel-Aziz Habib",2014-03-14,2017-04-14,2020-04-14,2020-04-14,https://patents.google.com/patent/US10619571B2/en,https://patentimages.storage.googleapis.com/25/7c/26/013f10fdeef0ea/US10619571-20200414-D00000.png
CN-105413384-B,A kind of organic exhaust gas recovery and processing system and method ,海湾环境科技（北京）股份有限公司,"周长龙, 刘国强, 崔立鹏, 毛智明",2015-12-24,2015-12-24,2018-10-02,2018-10-02,https://patents.google.com/patent/CN105413384B/en,
CN-111661846-A,Method for preparing activated carbon ,内蒙古浦瑞芬环保科技有限公司,"乔骊竹, 贾利东, 陈小敏, 姜维, 彭汉忠, 严春, 李婷, 李翔, 赵清, 苟文娟, 申昕昕",2020-05-15,2020-05-15,2020-09-15,,https://patents.google.com/patent/CN111661846A/en,https://patentimages.storage.googleapis.com/6d/a8/b7/4ca4baa0e8c991/HDA0002494130590000011.png
CN-104326612-A,Method and system for recovering salt from waste water treatment system ,南京科盛环保科技有限公司,曹惠忠,2014-10-24,2014-10-24,2015-02-04,,https://patents.google.com/patent/CN104326612A/en,
CN-109655843-A,Detect the pulsed infrared Differential Absorption Laser Radar System of gas concentration lwevel profile ,武汉大学,"马昕, 龚威, 韩舸, 徐浩, 史天奇, 何斌, 王成义, 邱若楠",2019-01-16,2019-01-16,2019-04-19,,https://patents.google.com/patent/CN109655843A/en,
CN-103632205-A,Optimized electric-vehicle dispatching method considering wind-electricity and load uncertainty ,常州大学,"张晓花, 谢俊, 朱正伟, 张孝康",2013-11-05,2013-11-05,2014-03-12,,https://patents.google.com/patent/CN103632205A/en,https://patentimages.storage.googleapis.com/3a/47/07/d2b165e5216ca5/131105092518.png
JP-2014174993-A5,Patent JP2014174993A5 ,,,,2014-03-03,2017-04-06,,https://patents.google.com/patent/JP2014174993A5/en,
CN-112259719-A,Comprehensive recovery method of waste photovoltaic module and preparation method of silicon-carbon negative electrode material ,昆明理工大学,"李绍元, 马文会, 苗志超, 席风硕, 吴丹丹, 万小涵, 魏奎先, 陈正杰, 于洁, 伍继君, 谢克强, 杨斌, 戴永年",2020-10-22,2020-10-22,2021-01-22,,https://patents.google.com/patent/CN112259719A/en,https://patentimages.storage.googleapis.com/b8/64/18/73da72de73759d/HDA0002737116920000011.png
CN-113003584-A,Method for preparing mesoporous silicon-aluminum material by using steel slag ,东北大学,"赵青, 赵志, 刘承军, 梅孝辉, 姜茂发",2021-03-26,2021-03-26,2021-06-22,,https://patents.google.com/patent/CN113003584A/en,https://patentimages.storage.googleapis.com/55/de/a2/ea76e09bf2ec73/HDA0002995512400000011.png
CN-110312780-A,For supercritical CO2The full steam gasification of power cycle system ,沃姆泽能源解决方案股份有限公司,"A·沃尔姆塞尔, J·帕克斯, D·M·托德",2017-01-15,2018-01-11,2019-10-08,,https://patents.google.com/patent/CN110312780A/en,
CN-110669932-A,Method for comprehensively utilizing copper electrolyte purification resources ,"中南大学, 宁波弗镁瑞环保科技有限公司","王学文, 王懿, 孟钰麒, 王明玉, 田晟晖",2019-09-25,2019-09-25,2020-01-10,,https://patents.google.com/patent/CN110669932A/en,https://patentimages.storage.googleapis.com/f6/8a/8f/82ce3787a9fad0/HDA0002214804440000011.png
CN-110429264-A,A method of preparing rice husk base negative electrode material ,吉林大学,"王晓峰, 丰祎, 朱燕超, 杨晓敏, 王子忱",2019-08-13,2019-08-13,2019-11-08,,https://patents.google.com/patent/CN110429264A/en,
CN-110939411-A,Supercritical CO2Replacement mining of CH4Hydrate experimental device and using method ,华南理工大学,"樊栓狮, 欧阳潜, 王燕鸿, 郎雪梅, 李刚, 王盛龙, 于驰",2019-11-11,2019-11-11,2020-03-31,,https://patents.google.com/patent/CN110939411A/en,https://patentimages.storage.googleapis.com/a7/a5/e6/4422b87412ea37/HDA0002268509290000011.png
CN-108165287-A,A kind of viscosity rubbish anaerobic thermal-cracking method and system ,深圳新能极科技有限公司,"陈宗达, 王志成, 蔡珠华, 黎晓涛, 王京华",2018-02-02,2018-02-02,2018-06-15,,https://patents.google.com/patent/CN108165287A/en,
US-2021324577-A1,Waterless fiber dyeing method using mixed fluid medium ,Soochow University,"Jiajie LONG, Chong Cai",2018-10-16,2018-10-25,2021-10-21,,https://patents.google.com/patent/US20210324577A1/en,https://patentimages.storage.googleapis.com/30/83/33/ad89a7c639c3c1/US20210324577A1-20211021-D00000.png
CN-104593804-A,System for preparing synthetic gas by virtue of high-temperature electrolysis of CO2/H2O and application of system ,东北石油大学,"吴红军, 马越, 王宝辉, 毛前军, 隋欣, 刘先军, 郑振阳",2015-01-15,2015-01-15,2015-05-06,,https://patents.google.com/patent/CN104593804A/en,
CN-103408012-A,Method for preparing activated carbon from camellia seed waste residues ,江汉大学,"米铁, 余新明",2013-08-07,2013-08-07,2013-11-27,,https://patents.google.com/patent/CN103408012A/en,https://patentimages.storage.googleapis.com/20/15/b9/162c10206e5c4c/HDA00003631008500021.png
CN-107149851-A,One kind is desorbed and CO in fixed monoethanolamine rich solution2New method ,华东交通大学,"张卫风, 王秋华, 马伟春, 黄珍, 焦月潭, 李靳, 钟林新",2017-07-18,2017-07-18,2017-09-12,,https://patents.google.com/patent/CN107149851A/en,
CN-106674293-A,Method for treating sucralose-6-acetic acid ester waste mother liquor in hydrolysis mode ,福建科宏生物工程股份有限公司,"刘玲玲, 蓝姗姗, 崔灿, 李恒",2016-12-09,2016-12-09,2017-05-17,,https://patents.google.com/patent/CN106674293A/en,
CN-104264179-A,Method for preparing graphene from raw graphite ores through electrolysis ,中国科学院山西煤炭化学研究所,"王俊中, 王俊英, 郭全贵, 闫蕊, 黄建林",2014-09-17,2014-09-17,2015-01-07,,https://patents.google.com/patent/CN104264179A/en,
CN-105567263-A,Method for carrying out dry quenching and gas making on coked red coke and coking wastewater treatment ,"王平山, 李飞",不公告发明人,2016-03-10,2016-03-10,2016-05-11,,https://patents.google.com/patent/CN105567263A/en,
CN-106191437-A,A kind of method of comprehensive utilization containing high alumina high silicon high iron class ore deposit ,"贵州鑫亚矿业有限公司, 昆明理工大学","高利坤, 洪志, 陈龙",2016-07-08,2016-07-08,2016-12-07,,https://patents.google.com/patent/CN106191437A/en,
CN-105907430-A,Device for producing synthesis gas through biomass gasification and method of device ,东南大学,"肖军, 吕潇, 孙亭亭, 李巧, 沈来宏",2016-06-21,2016-06-21,2016-08-31,,https://patents.google.com/patent/CN105907430A/en,
CN-113060713-A,Preparation of Na by homogeneous phase method4Fe3(PO4)2(P2O7) Method and application of ,湖北万润新能源科技股份有限公司,"曹余良, 陈重学, 付承龙, 赵阿龙, 熊健, 王勤, 陈世涛",2021-02-25,2021-02-25,2021-07-02,,https://patents.google.com/patent/CN113060713A/en,https://patentimages.storage.googleapis.com/f2/31/bd/d81f631e29d8bc/210204144258.png
CN-103819053-A,Biogas slurry and biogas purifying method by struvite precipitation coupled with microalgae cultivation ,农业部沼气科学研究所,"王文国, 潘科, 汤晓玉, 祝其丽, 胡启春",2014-02-25,2014-02-25,2014-05-28,,https://patents.google.com/patent/CN103819053A/en,https://patentimages.storage.googleapis.com/0d/26/2a/715d99556f2c0b/140225100633.png
CN-105801069-A,Method for preparing high-fixed-carbon-content construction material product ,武汉大学,"何真, 李振, 梁辰, 蔡新华",2016-02-25,2016-02-25,2016-07-27,,https://patents.google.com/patent/CN105801069A/en,
WO-2018017108-A1,Modeling of oil and gas fields for appraisal and early development ,"Schlumberger Technology Corporation, Schlumberger Canada Limited, Services Petroliers Schlumberger, Geoquest Systems B.V.","Armin Kauerauf, Oliver C. Mullins, Thomas Hantschel, Kang Wang, Adrian Kleine, Youxiang Zuo",2016-07-22,2016-07-22,2018-01-25,,https://patents.google.com/patent/WO2018017108A1/en,
JP-3238823-U,Reaction system for producing ethanol from coal ,南京延長反応技術研究院有限公司,"志炳 張, 政 周, 鋒 張, 磊 李, 為民 孟, 宝栄 王, 高東 楊, 華勲 羅, 国強 楊, 洪舟 田, 宇 曹",2020-07-16,2020-10-22,2022-08-25,2022-08-25,https://patents.google.com/patent/JP3238823U/en,https://patentimages.storage.googleapis.com/1b/22/0c/aa4cea013e54f2/0003238823000002.png
JP-2022500067-A,Printable magnetic powder for bio-nanocatalyst immobilization and 3D printed objects ,"ザイムトロニクス キャタリティック システムズ インコーポレイテッドZymtronix Catalytic Systems, Inc., ザイムトロニクス キャタリティック システムズ インコーポレイテッド","セドリック コーギー ステファン, スティーブン チュン マシュー, アルジェリア ロドリゲス リヴェラ カティア, ヨセフ サンクトヨハンザー マクシミリアン, カーター ウォン ブレドン",2018-09-27,2019-09-26,2022-01-04,,https://patents.google.com/patent/JP2022500067A/en,https://patentimages.storage.googleapis.com/3c/cb/2b/65ea80def597a8/2022500067-12.png
WO-2017167262-A1,Method for reducing pollutant discharge in phenol acetone production ,中国环境科学研究院,"周岳溪, 宋玉栋",2016-04-01,2017-03-31,2017-10-05,,https://patents.google.com/patent/WO2017167262A1/en,https://patentimages.storage.googleapis.com/da/23/17/55c3cdfb57eb5b/PCTCN2017078960-appb-300001.png
CN-114538849-A,Preparation process of steel slag-based water permeable brick cured by hydration-carbonization coupling system and steel slag-based carbonized water permeable brick ,沈阳建筑大学,"房延凤, 王凇宁, 王庆贺, 张玉琢, 王彦钦, 姚淑红",2022-03-08,2022-03-08,2022-05-27,,https://patents.google.com/patent/CN114538849A/en,
CN-113929267-A,Efficient microbial microfiltration clarified sewage treatment device and treatment method thereof ,广东新泰隆环保集团有限公司,"辛永光, 欧宏森, 巨润科",2021-11-03,2021-11-03,2022-01-14,,https://patents.google.com/patent/CN113929267A/en,https://patentimages.storage.googleapis.com/e1/d2/7d/fdf720ff25405a/HDA0003334472810000011.png
CN-104477950-A,Method for preparing high-purity alkaline magnesium carbonate and calcium carbonate by means of CO2 mineralization of dolomite ,四川大学,"谢和平, 刘涛, 王昱飞, 王金龙, 唐亮, 江文",2014-12-09,2014-12-09,2015-04-01,,https://patents.google.com/patent/CN104477950A/en,
CN-113750758-A,Method for recovering carbon dioxide in flue gas ,广州市浩立生物科技有限公司,"朱宝璋, 冯志豪, 朱力, 朱迪",2021-09-30,2021-09-30,2021-12-07,,https://patents.google.com/patent/CN113750758A/en,https://patentimages.storage.googleapis.com/65/bb/36/edf1956759fe9b/HDA0003288997400000011.png
CN-103318960-A,Separation method for completion liquid of caustic soda liquid-phase oxidation of chromite ,余华强,余华强,2013-07-04,2013-07-15,2013-09-25,,https://patents.google.com/patent/CN103318960A/en,https://patentimages.storage.googleapis.com/72/ac/99/28808b3b8441dd/20131029663751000031.png
